"endTime","artistName","trackName","msPlayed"
"2020-09-07 02:08","Maroon 5","Memories",0
"2020-09-07 02:08","Passenger","Let Her Go",2220
"2020-09-07 02:08","Rachel House","I Am Moana (Song of the Ancestors)",1065
"2020-09-07 02:08","Ed Sheeran","Bloodstream",884
"2020-09-07 02:08","Shawn Mendes","Never Be Alone",1507
"2020-09-07 02:08","Linkin Park","One More Light",1046
"2020-09-07 02:08","SPYAIR","サクラミツツキ",1903
"2020-09-07 02:08","Sam Smith","Lay Me Down",1263
"2020-09-07 02:08","Taylor Swift","Back To December",0
"2020-09-07 02:08","Taylor Swift","You Need To Calm Down - Clean Bandit Remix",23
"2020-09-07 02:08","Céline Dion","Goodbye's (The Saddest Word)",0
"2020-09-07 02:08","Taylor Swift","cardigan",2712
"2020-09-07 02:08","Sam Smith","Burning",931
"2020-09-07 02:08","Imagine Dragons","Thunder",574
"2020-09-07 02:08","Sam Smith","Like I Can",1021
"2020-09-07 02:08","Taylor Swift","Fearless",1095
"2020-09-07 02:08","Taylor Swift","End Game",2280
"2020-09-07 02:08","Taylor Swift","End Game",0
"2020-09-07 02:08","Lady A","Golden",902
"2020-09-07 02:08","Troye Sivan","Strawberries & Cigarettes",922
"2020-09-07 02:08","Ed Sheeran","Remember The Name (feat. Eminem & 50 Cent)",0
"2020-09-07 02:08","Reol","VIORA",2620
"2020-09-07 02:08","SPYAIR","アイム・ア・ビリーバー",984
"2020-09-07 02:08","Christina Aguilera","Fall In Line (feat. Demi Lovato)",1352
"2020-09-07 02:08","RADWIMPS","Weekly Shounen Jump",840
"2020-09-07 02:08","Avril Lavigne","How Does It Feel",1025
"2020-09-07 02:09","Lady Gaga","Million Reasons",13193
"2020-09-07 02:09","LiSA","紅蓮華",636
"2020-09-07 02:09","RIKKI","SUTEKI DA NE (Isn't It Wonderful?) - Orchestra Version",897
"2020-09-07 02:09","Troye Sivan","TALK ME DOWN",762
"2020-09-07 02:09","Ed Sheeran","I Don't Want Your Money (feat. H.E.R.)",970
"2020-09-07 02:09","Faye Wong","Eyes On Me",385
"2020-09-07 02:09","David Archuleta","The Prayer",23
"2020-09-07 02:09","Sam Smith","Say It First",3843
"2020-09-07 02:09","Macklemore","Good Old Days (feat. Kesha)",1298
"2020-09-07 02:09","Truc Nhan","Lớn Rồi Còn Khóc Nhè",670
"2020-09-07 02:09","Taylor Swift","This Is Why We Can't Have Nice Things",853
"2020-09-07 02:09","Takako Matsu","Into the Unknown",1080
"2020-09-07 02:09","YOASOBI","夜に駆ける",2196
"2020-09-07 02:09","Rag'n'Bone Man","As You Are",0
"2020-09-07 02:09","Rihanna","California King Bed",1217
"2020-09-07 02:12","YOASOBI","夜に駆ける",153623
"2020-09-07 02:13","Ayase","ghost city tokyo",108042
"2020-09-07 02:14","Reol","サマーホラーパーティ",7565
"2020-09-07 02:14","Sam Smith","Make It To Me",507
"2020-09-07 02:14","Sam Smith","Make It To Me",2690
"2020-09-07 02:14","Kelly Clarkson","Walk Away",1088
"2020-09-07 02:14","Sia","Cheap Thrills (feat. Sean Paul)",2153
"2020-09-07 02:14","Imagine Dragons","Believer",1827
"2020-09-07 02:14","Reol","コノヨLoading...",7363
"2020-09-07 02:14","P!nk","Try",3083
"2020-09-07 02:14","Irma","Hear Me Out",5538
"2020-09-07 02:14","Reol","宵々古今",4632
"2020-09-07 02:14","Reol","宵々古今",18646
"2020-09-07 02:14","Reol","ギミアブレスタッナウ",1768
"2020-09-07 02:15","Adele","Send My Love (To Your New Lover)",1740
"2020-09-07 02:15","Kelly Clarkson","Walk Away",1852
"2020-09-07 02:17","Maroon 5","Girls Like You (feat. Cardi B)",124028
"2020-09-07 02:18","YOASOBI","たぶん",105178
"2020-09-07 02:19","YOASOBI","群青",55556
"2020-09-07 02:21","Masaki Suda","サンキュー神様",70320
"2020-09-07 02:25","RADWIMPS","Cocorononaca - Complete Version",259613
"2020-09-07 02:28","HIRAIDAI","GIRL FRIEND",188236
"2020-09-07 02:32","YOASOBI","夜に駆ける",261013
"2020-09-07 02:37","Saucy Dog","Sea Glass",274737
"2020-09-07 02:38","Nogizaka46","Route 246",43588
"2020-09-07 02:38","Mone Kamishiraishi","白い泥",14215
"2020-09-07 02:39","Eito","香水",34672
"2020-09-07 02:40","みゆな","あのねこの話 - feat. クボタカイ",40461
"2020-09-07 02:40","(sic)boy","Heaven's Drive",61392
"2020-09-07 02:41","Kenshi Yonezu","PLACEBO + 野田洋次郎",30966
"2020-09-07 02:41","DJ CHARI","GOKU VIBES",34597
"2020-09-07 02:42","Rin音","snow jam",42762
"2020-09-07 02:42","BIM","Non Fiction feat. No Buses",19142
"2020-09-07 02:44","Aimyon","Naked Heart",37438
"2020-09-07 02:44","BBHF","Bokurano Seikatsu",77667
"2020-09-07 02:45","Novelbright","Sunny drop",27280
"2020-09-07 02:47","LUCKY TAPES","BLUE feat. kojikoji",115093
"2020-09-07 02:50","ReN","We'll be fine",197043
"2020-09-07 02:53","Reol","第六感",191624
"2020-09-07 02:54","CHANMINA","Angel",19731
"2020-09-07 02:55","MY FIRST STORY","アンダーグラウンド",59920
"2020-09-07 04:31","UVERworld","Touch off",258706
"2020-09-07 04:34","Reol","コノヨLoading...",205786
"2020-09-07 04:38","Taylor Swift","the last great american dynasty",230999
"2020-09-07 04:39","James Bay","If You Ever Want To Be In Love",1028
"2020-09-07 04:39","Jay Chou","髮如雪",642
"2020-09-07 04:39","Jess Glynne","I'll Be There",1083
"2020-09-07 04:39","Céline Dion","My Heart Will Go On - Love Theme from ""Titanic""",10824
"2020-09-07 04:42","Lorde","Homemade Dynamite - REMIX",214254
"2020-09-07 04:42","Charlie Puth","Some Type of Love",1762
"2020-09-07 04:42","Adele","Send My Love (To Your New Lover)",1845
"2020-09-07 04:42","Yanni","1001",5085
"2020-09-07 04:42","Sia","Cheap Thrills (feat. Sean Paul)",1714
"2020-09-07 04:42","Charlie Puth","Change (feat. James Taylor)",2060
"2020-09-07 04:42","Jessie J","Price Tag",1543
"2020-09-07 04:42","Sam Smith","Stay With Me",1774
"2020-09-07 04:42","Charlie Puth","Left Right Left",1500
"2020-09-07 04:43","Nobuo Uematsu","Zanarkand (Final Fantasy X)",1532
"2020-09-07 04:43","Rihanna","Kiss It Better",1898
"2020-09-07 04:43","Lady A","Golden",1543
"2020-09-07 04:54","Ed Sheeran","Shape of You - Acoustic",97663
"2020-09-07 14:10","Ed Sheeran","Shape of You - Acoustic",127294
"2020-09-07 14:14","ONE OK ROCK","the same as...",276640
"2020-09-07 14:18","ONE OK ROCK","Clock Strikes",235346
"2020-09-07 14:22","Jason Mraz","I'm Yours",242186
"2020-09-07 14:25","Jason Mraz","I Won't Give Up",151968
"2020-09-07 14:29","Taylor Swift","invisible string",252880
"2020-09-07 14:32","Rita Ora","Your Song - Acoustic",181907
"2020-09-07 14:40","Céline Dion","It's All Coming Back to Me Now",7019
"2020-09-07 14:40","Emiko Shiratori","Melodies Of Life 〜Final Fantasy",456304
"2020-09-07 14:40","Leona Lewis","Thunder",1939
"2020-09-07 14:40","Leona Lewis","Bleeding Love",10270
"2020-09-07 14:40","Leona Lewis","Happy",1774
"2020-09-07 14:43","Taylor Swift","You Need To Calm Down",171360
"2020-09-07 14:47","Taylor Swift","Blank Space",231826
"2020-09-07 14:51","Taylor Swift","Dress",230373
"2020-09-07 14:54","Troye Sivan","EASE",213705
"2020-09-07 14:58","Mandy Moore","I See the Light - From ""Tangled"" / Soundtrack Version",224240
"2020-09-07 14:58","ONE OK ROCK","Grow Old Die Young",3045
"2020-09-07 14:58","Jordan Fisher","You're Welcome - Jordan Fisher/Lin-Manuel Miranda Version",7636
"2020-09-07 15:03","Sam Smith","No Peace",283294
"2020-09-07 15:07","Alessia Cara","Scars To Your Beautiful",230226
"2020-09-07 15:10","Calum Scott","You Are The Reason",173437
"2020-09-08 02:59","Reol","第六感",191624
"2020-09-08 02:59","Ed Sheeran","Dive",7132
"2020-09-08 03:03","ReN","We'll be fine",197043
"2020-09-08 03:03","RADWIMPS","Cocorononaca - Complete Version",13258
"2020-09-08 03:07","ReN","We'll be fine",197043
"2020-09-08 03:11","RADWIMPS","Cocorononaca - Complete Version",259613
"2020-09-08 03:15","YOASOBI","群青",248444
"2020-09-08 03:17","ヨルシカ","ただ君に晴れ",132263
"2020-09-08 03:18","ヨルシカ","ただ君に晴れ",28466
"2020-09-08 03:21","Reol","第六感",191624
"2020-09-08 03:24","ReN","We'll be fine",197043
"2020-09-08 03:29","RADWIMPS","Cocorononaca - Complete Version",259613
"2020-09-08 03:33","YOASOBI","群青",248444
"2020-09-08 03:36","ヨルシカ","ただ君に晴れ",198971
"2020-09-08 03:40","YOASOBI","たぶん",258666
"2020-09-08 03:44","Ayase","ghost city tokyo",204213
"2020-09-08 03:48","UVERworld","Touch off",258706
"2020-09-08 03:53","Eir Aoi","IGNITE",244786
"2020-09-08 03:56","SPYAIR","RAGE OF DUST",202586
"2020-09-08 04:00","SPYAIR","サクラミツツキ",217226
"2020-09-08 04:03","SPYAIR","アイム・ア・ビリーバー",214946
"2020-09-08 04:06","SPYAIR","イマジネーション",176640
"2020-09-08 04:11","LiSA","unlasting",295219
"2020-09-08 04:15","LiSA","crossing field",248946
"2020-09-08 04:19","LiSA","ADAMAS",225000
"2020-09-08 04:23","Kenshi Yonezu","PLACEBO + 野田洋次郎",240253
"2020-09-08 04:27","Kenshi Yonezu","海の幽霊",234466
"2020-09-08 04:30","Kenshi Yonezu","Décolleté",209573
"2020-09-08 04:34","Kenshi Yonezu","パプリカ",202666
"2020-09-08 04:38","Motohiro Hata","Rain",257229
"2020-09-08 04:41","Reol","第六感",191624
"2020-09-08 04:45","ReN","We'll be fine",197043
"2020-09-08 04:45","RADWIMPS","Cocorononaca - Complete Version",14597
"2020-09-08 04:49","YOASOBI","群青",248444
"2020-09-08 04:59","ヨルシカ","ただ君に晴れ",2972
"2020-09-08 14:18","YOASOBI","たぶん",258666
"2020-09-08 14:22","Soulja Boy","Kiss Me Thru The Phone",193386
"2020-09-08 14:25","Truc Nhan","Sáng Mắt Chưa",208122
"2020-09-08 14:29","Taylor Swift","seven",208906
"2020-09-08 14:32","RADWIMPS","サイハテアイニ",221160
"2020-09-08 14:36","Taylor Swift","Death By A Thousand Cuts - Live From Paris",199066
"2020-09-08 14:40","Taylor Swift","my tears ricochet",255893
"2020-09-08 14:45","Official HIGE DANdism","I Love...",282026
"2020-09-08 14:49","Masashi Hamauzu","Blinded by Light (From ""Final Fantasy XIII"")",253546
"2020-09-08 14:54","Taylor Swift","Cornelia Street - Live From Paris",296013
"2020-09-08 14:55","Panic! At The Disco","Into the Unknown - Panic! At The Disco Version",75457
"2020-09-09 02:17","Ayase","killer queen",61752
"2020-09-09 02:18","Nordex","Welcome My Friend (From ""The Millionaire Detective Balance: Unlimited"")",40738
"2020-09-09 02:18","OKAMOTO'S","Welcome My Friend",44033
"2020-09-09 03:33","OKAMOTO'S","Welcome My Friend",227106
"2020-09-09 03:36","Ayase","ghost city tokyo",204213
"2020-09-09 03:40","Reol","第六感",191624
"2020-09-09 03:43","ReN","We'll be fine",197043
"2020-09-09 03:47","RADWIMPS","Cocorononaca - Complete Version",259613
"2020-09-09 03:53","YOASOBI","群青",248444
"2020-09-09 03:56","ヨルシカ","ただ君に晴れ",198971
"2020-09-09 04:00","YOASOBI","たぶん",258666
"2020-09-09 04:05","UVERworld","Touch off",258706
"2020-09-09 04:09","Eir Aoi","IGNITE",244786
"2020-09-09 04:09","SPYAIR","RAGE OF DUST",41543
"2020-09-09 04:13","OKAMOTO'S","Welcome My Friend",227106
"2020-09-09 04:17","YOASOBI","たぶん",258666
"2020-09-09 04:22","Black Eyed Peas","Where Is The Love?",272533
"2020-09-09 04:25","Taylor Swift","Holy Ground",202960
"2020-09-09 04:29","Taylor Swift","Lover - Live From Paris",229733
"2020-09-09 04:29","P!nk","Walk Me Home",3106
"2020-09-09 04:29","RADWIMPS","Mountain Top",7391
"2020-09-09 04:35","RADWIMPS","洗脳 - Anti Anti Mix",330133
"2020-09-09 04:40","Yoko Shimomura","Hunt or Be Hunted",308893
"2020-09-09 04:43","Nobuo Uematsu","Let the Battles Begin!",167240
"2020-09-09 04:43","Aerosmith","I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",27668
"2020-09-09 04:47","Hoang Thuy Linh","De Mi Noi Cho Ma Nghe",193877
"2020-09-09 04:57","Taylor Swift","Only The Young - Featured in Miss Americana",12631
"2020-09-09 14:17","Taylor Swift","Only The Young - Featured in Miss Americana",146056
"2020-09-09 14:22","Ed Sheeran","Bloodstream",308876
"2020-09-09 14:25","Rudimental","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",144009
"2020-09-09 14:26","Rudimental","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",66786
"2020-09-09 14:31","ヨルシカ","靴の花火",303231
"2020-09-09 14:31","Linkin Park","Leave Out All The Rest",6592
"2020-09-09 14:33","RADWIMPS","Dream lantern",131666
"2020-09-09 14:38","Alicia Keys","No One - Acoustic",259569
"2020-09-09 14:56","Nobuo Uematsu","Battle Medley - FFRK Ver.arrange",1086493
"2020-09-09 15:00","RADWIMPS","NEVER EVER ENDER",243483
"2020-09-09 15:49","OKAMOTO'S","Welcome My Friend",227106
"2020-09-09 15:52","Ayase","ghost city tokyo",204213
"2020-09-09 15:55","Reol","第六感",191624
"2020-09-09 15:58","ReN","We'll be fine",142082
"2020-09-09 15:59","ReN","HURRICANE",82652
"2020-09-09 16:01","ReN","We'll be fine - Acoustic Version",128961
"2020-09-09 16:04","ReN","We'll be fine",197043
"2020-09-09 16:09","RADWIMPS","Cocorononaca - Complete Version",259613
"2020-09-09 16:13","YOASOBI","群青",248444
"2020-09-09 16:16","ヨルシカ","ただ君に晴れ",198971
"2020-09-09 16:21","YOASOBI","たぶん",258666
"2020-09-09 16:25","UVERworld","Touch off",258706
"2020-09-09 16:29","Eir Aoi","IGNITE",244786
"2020-09-09 16:32","SPYAIR","RAGE OF DUST",202586
"2020-09-09 16:36","SPYAIR","サクラミツツキ",217226
"2020-09-09 16:40","SPYAIR","アイム・ア・ビリーバー",214946
"2020-09-09 16:43","SPYAIR","イマジネーション",176640
"2020-09-09 16:48","LiSA","unlasting",295219
"2020-09-09 16:52","LiSA","crossing field",248946
"2020-09-09 16:55","LiSA","ADAMAS",225000
"2020-09-09 17:00","Kenshi Yonezu","PLACEBO + 野田洋次郎",240253
"2020-09-09 17:03","Kenshi Yonezu","海の幽霊",234466
"2020-09-09 17:07","Kenshi Yonezu","Décolleté",209573
"2020-09-09 17:10","Kenshi Yonezu","パプリカ",202666
"2020-09-09 17:10","Motohiro Hata","Rain",464
"2020-09-10 04:42","OKAMOTO'S","Welcome My Friend",227106
"2020-09-10 04:43","Reol","第六感",15177
"2020-09-10 04:46","ReN","We'll be fine",197043
"2020-09-10 04:50","RADWIMPS","Cocorononaca - Complete Version",259613
"2020-09-10 04:54","YOASOBI","群青",248444
"2020-09-10 04:56","ヨルシカ","ただ君に晴れ",44210
"2020-09-10 04:57","YOASOBI","たぶん",2436
"2020-09-10 05:00","ヨルシカ","ただ君に晴れ",198971
"2020-09-10 05:04","YOASOBI","たぶん",258666
"2020-09-10 05:08","UVERworld","Touch off",258706
"2020-09-10 05:13","Eir Aoi","IGNITE",244786
"2020-09-10 05:16","SPYAIR","RAGE OF DUST",202586
"2020-09-10 05:20","SPYAIR","サクラミツツキ",217226
"2020-09-10 05:23","SPYAIR","アイム・ア・ビリーバー",214946
"2020-09-10 05:26","SPYAIR","イマジネーション",176640
"2020-09-10 05:31","LiSA","unlasting",295219
"2020-09-10 05:35","LiSA","crossing field",248946
"2020-09-10 05:39","LiSA","ADAMAS",225000
"2020-09-10 05:43","Kenshi Yonezu","PLACEBO + 野田洋次郎",240253
"2020-09-10 05:47","Kenshi Yonezu","海の幽霊",234466
"2020-09-10 05:51","Idina Menzel","Show Yourself",260906
"2020-09-10 05:56","T.I.","Get Back Up",264200
"2020-09-10 06:01","ヨルシカ","パレード",299740
"2020-09-10 06:05","Official HIGE DANdism","Stand By You",256131
"2020-09-10 06:08","ヨルシカ","ヒッチコック",191315
"2020-09-10 07:17","ReN","We'll be fine - Acoustic Version",209030
"2020-09-10 07:18","Ed Sheeran","Perfect Symphony (Ed Sheeran & Andrea Bocelli)",33861
"2020-09-10 07:22","Ed Sheeran","Best Part of Me (feat. YEBBA)",243266
"2020-09-10 07:25","Taylor Swift","Wildest Dreams",2558
"2020-09-10 07:25","Imagine Dragons","Demons",5874
"2020-09-10 07:25","Imagine Dragons","Natural",189466
"2020-09-10 07:25","Macklemore","Glorious (feat. Skylar Grey)",4325
"2020-09-10 07:28","ONE OK ROCK","Change",176946
"2020-09-10 07:33","Ed Sheeran","Bloodstream",300253
"2020-09-10 07:34","Rihanna","California King Bed",31956
"2020-09-10 07:36","Mandy Moore","When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",152333
"2020-09-10 07:40","Reol","サマーホラーパーティ",254573
"2020-09-10 07:44","ONE OK ROCK","Mighty Long Fall",243120
"2020-09-10 07:48","ONE OK ROCK","Letting Go",200226
"2020-09-10 07:51","The Lost Bros","You'll Be in My Heart",26740
"2020-09-10 07:51","Christopher","Grow Up",184307
"2020-09-10 07:55","Ed Sheeran","Sing",235382
"2020-09-10 07:59","Ed Sheeran","All of the Stars",234986
"2020-09-10 08:03","Taylor Swift","Lover",221306
"2020-09-10 08:06","James Bay","Wild Love",197280
"2020-09-10 08:10","Keira Knightley","Tell Me If You Wanna Go Home - Rooftop Mix",206506
"2020-09-10 08:16","RIKKI","SUTEKI DA NE (Isn't It Wonderful?) - Orchestra Version",379040
"2020-09-10 08:17","Avril Lavigne","Things I'll Never Say",1838
"2020-09-10 08:17","Jay Chou","稻香",22626
"2020-09-10 08:21","Irma","Where Do You Go",277133
"2020-09-10 08:24","Sam Smith","Stay With Me - Radio Edit",173448
"2020-09-10 08:25","Sia","The Greatest (feat. Kendrick Lamar)",14711
"2020-09-10 08:25","Linkin Park","Waiting for the End",1730
"2020-09-10 08:25","Taylor Swift","Everything Has Changed",2483
"2020-09-10 08:28","Nobuo Uematsu","Don't Be Afraid (Final Fantasy VIII)",225266
"2020-09-10 08:33","The Weeknd","Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",252226
"2020-09-10 08:36","Troye Sivan","FOOLS",220402
"2020-09-10 08:40","Hikaru Utada","Face My Fears (Japanese Version)",222013
"2020-09-10 08:42","Kelly Clarkson","Piece by Piece - Idol Version",144303
"2020-09-10 08:42","Jonas Blue","Perfect Strangers - Acoustic",1892
"2020-09-10 08:46","RADWIMPS","Grand Escape (Movie Edit) [feat. Toko Miura]",188066
"2020-09-10 08:49","ONE OK ROCK","Change",174627
"2020-09-10 08:56","Troye Sivan","Fun",207602
"2020-09-10 08:59","Adele","When We Were Young",2704
"2020-09-10 08:59","Sia","Thunderclouds (feat. Sia, Diplo, and Labrinth)",187026
"2020-09-10 08:59","Troye Sivan","BLUE",12452
"2020-09-10 09:03","Taylor Swift","Miss Americana & The Heartbreak Prince",33731
"2020-09-10 09:03","Reol","Lunatic",197786
"2020-09-10 09:07","Eve","Okinimesumama",246712
"2020-09-10 09:10","Martin Garrix","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",163804
"2020-09-10 09:13","Ed Sheeran","New Man",189280
"2020-09-10 09:17","Reol","RE:",203240
"2020-09-10 09:17","Sam Smith","Lay Me Down",1991
"2020-09-10 09:17","Kelly Clarkson","Good Goes The Bye",14186
"2020-09-10 09:20","Ed Sheeran","Way To Break My Heart (feat. Skrillex)",190293
"2020-09-10 09:23","Ed Sheeran","Beautiful People (feat. Khalid)",197866
"2020-09-10 09:27","LiSA","紅蓮華",238586
"2020-09-10 09:31","Mariah Carey","We Belong Together",201400
"2020-09-10 09:34","Naughty Boy","La La La",222200
"2020-09-10 09:38","Tones And I","Dance Monkey",209438
"2020-09-10 09:42","Leona Lewis","I Got You",225933
"2020-09-10 11:34","Ed Sheeran","Feels (feat. Young Thug & J Hus)",107616
"2020-09-10 11:37","UVERworld","Touch off",108113
"2020-09-10 11:41","SPYAIR","RAGE OF DUST",179828
"2020-09-10 11:42","SPYAIR","イマジネーション",57590
"2020-09-10 11:46","Kenshi Yonezu","PLACEBO + 野田洋次郎",240253
"2020-09-10 11:46","Hikaru Utada","Don't Think Twice",2424
"2020-09-10 11:47","OKAMOTO'S","Welcome My Friend",54427
"2020-09-10 11:49","ヨルシカ","ヒッチコック",105779
"2020-09-10 11:51","LiSA","紅蓮華",143858
"2020-09-10 11:51","RADWIMPS","正解 - 18FES ver.",14691
"2020-09-10 11:59","Nobuo Uematsu","Battle Medley - FFRK Ver.arrange",484722
"2020-09-10 12:01","Ed Sheeran","Antisocial (with Travis Scott)",25617
"2020-09-10 12:01","Ed Sheeran","Remember The Name (feat. Eminem & 50 Cent)",4149
"2020-09-10 12:01","Ed Sheeran","I Don't Care (with Justin Bieber)",68452
"2020-09-10 12:03","Ed Sheeran","BLOW (with Chris Stapleton & Bruno Mars)",132699
"2020-09-10 12:06","Lil Nas X","Old Town Road - Remix",142849
"2020-09-10 12:07","Khalid","Talk (feat. Disclosure)",106754
"2020-09-10 12:11","Official HIGE DANdism","Pretender",213325
"2020-09-10 12:12","RADWIMPS","IKIJIBIKI",85292
"2020-09-10 12:14","Katy Perry","Firework",2710
