"endTime","artistName","trackName","msPlayed"
"2021-03-15 08:41","Taylor Swift","Death By A Thousand Cuts",198533
"2021-03-15 08:45","Ne-Yo","So Sick",207186
"2021-03-15 08:49","Ed Sheeran","The A Team",258373
"2021-03-15 08:53","LiSA","再会 (produced by Ayase)",80807
"2021-03-15 08:59","Taylor Swift","betty",294520
"2021-03-15 12:28","SPYAIR","イマジネーション",35670
"2021-03-15 12:28","Taylor Swift","22",760
"2021-03-15 12:28","Taylor Swift","Delicate - Recorded at The Tracking Room Nashville",420
"2021-03-15 12:28","ONE OK ROCK","Nothing Helps",970
"2021-03-15 12:31","Selena Gomez","Hands To Myself",200680
"2021-03-15 12:34","Sam Smith","Baby, You Make Me Crazy",207966
"2021-03-15 12:39","Taylor Swift","august",261922
"2021-03-15 12:43","Charlie Puth","Done for Me (feat. Kehlani)",180493
"2021-03-15 12:46","Hoang Thuy Linh","De Mi Noi Cho Ma Nghe",193877
"2021-03-15 12:50","Taylor Swift","Lover",221306
"2021-03-15 12:52","Bruno Mars","Versace on the Floor (Bruno Mars vs. David Guetta)",129023
"2021-03-15 12:59","YOASOBI","たぶん",258666
"2021-03-15 12:59","Sam Smith","Stay With Me",28233
"2021-03-15 13:02","Beyoncé","Savage Remix (feat. Beyoncé)",176470
"2021-03-15 13:05","Cardi B","WAP (feat. Megan Thee Stallion)",179200
"2021-03-15 13:08","Harry Styles","Watermelon Sugar",174000
"2021-03-15 13:08","Eminem","Not Afraid",380
"2021-03-15 13:08","UVERworld","Touch off",1260
"2021-03-15 13:08","Lorde","Royals",2810
"2021-03-15 13:08","Bruno Mars","Versace on the Floor",2350
"2021-03-15 13:08","Aretha Franklin","I Will Survive (The Aretha Version)",0
"2021-03-15 13:08","Mary J. Blige","Be Without You - Kendu Mix",13890
"2021-03-15 13:12","Post Malone","Circles",215280
"2021-03-15 13:16","Little Mix","Salute",236013
"2021-03-16 09:01","Sam Smith","Not In That Way",15646
"2021-03-16 09:04","Harry Styles","Watermelon Sugar",174000
"2021-03-16 10:16","King Gnu","白日",276373
"2021-03-16 10:20","Beyoncé","Love On Top",267413
"2021-03-16 10:21","Linkin Park","In the End",46703
"2021-03-16 10:21","Nobuo Uematsu","Tears of the moon",2780
"2021-03-16 10:21","Nobuo Uematsu","Fear",940
"2021-03-16 10:24","Nobuo Uematsu","Fragments of Memories",160900
"2021-03-16 10:24","Nobuo Uematsu","FFVII REMAKE: プレリュード -再会- (The Prelude - Reunion)",4090
"2021-03-16 10:27","Nobuo Uematsu","FFVII REMAKE: 爆破ミッション (Bombing Mission)",206080
"2021-03-16 10:34","Nobuo Uematsu","FFVII REMAKE: 闘う者達 -強行突破- (Let the Battles Begin! - Break Through)",420360
"2021-03-16 10:38","鈴木 光人","FFVII REMAKE: レッドゾーン (The Red Zone)",9743
"2021-03-16 10:38","Nobuo Uematsu","FFVII REMAKE: 神羅のテーマ (Shinra's Theme)",249946
"2021-03-16 10:41","Nobuo Uematsu","FFVII REMAKE: 給水塔の約束 (A Tower, a Promise)",159840
"2021-03-16 10:42","浜渦正志","FFVII REMAKE: フィーラーのテーマ (Whispers' Theme)",7680
"2021-03-16 10:42","鈴木 光人","FFVII REMAKE: 陥没道路 (Collapsed Expressway)",72500
"2021-03-16 10:42","浜渦正志","FFVII REMAKE: 3ギル芝居 (Cheap Play)",2490
"2021-03-16 10:43","Nobuo Uematsu","FFVII REMAKE: 血の跡 (Trail of Blood)",2210
"2021-03-16 10:45","今村 貴文","FFVII REMAKE: いざ腕力勝負 (Hand over Hand)",11650
"2021-03-16 10:45","Nobuo Uematsu","FFVII REMAKE: 神羅ビル潜入 (Infiltrating Shinra HQ)",151920
"2021-03-16 10:48","島 翔太朗","FFVII REMAKE: タイトロープ (Tightrope)",152346
"2021-03-16 10:50","鈴木 克崇","FFVII REMAKE: クライムハザード (Ascension)",125506
"2021-03-16 10:54","浜渦正志","FFVII REMAKE: 迷宮の犬 (Dogged Pursuit)",269600
"2021-03-16 11:00","Nobuo Uematsu","FFVII REMAKE: 虐げられた民衆 -ベグ盗賊団- (The Oppressed - Beck's Badasses)",1390
"2021-03-16 11:00","浜渦正志","FFVII REMAKE: 亡霊の悪戯 (Haunted)",1440
"2021-03-16 11:00","浜渦正志","FFVII REMAKE: 崩壊した世界 (A Broken World)",2780
"2021-03-16 11:00","Nobuo Uematsu","FFVII REMAKE: 約束の地 -巡る命- (The Promised Land - Cycle of Souls)",9550
"2021-03-16 11:00","Nobuo Uematsu","FFVII REMAKE: 魔晄都市ミッドガル (Midgar, City of Mako)",10000
"2021-03-16 11:00","Nobuo Uematsu","FFVII REMAKE: ミッドガル・ハイウェイ (Midgar Expressway)",309216
"2021-03-16 11:04","Nobuo Uematsu","FFVII REMAKE: ティファのテーマ -セブンスヘブン- (Tifa's Theme - Seventh Heaven)",246640
"2021-03-16 11:06","Nobuo Uematsu","FFVII REMAKE: 闘う者達 -秘密基地- (Let the Battles Begin! - The Hideout)",93960
"2021-03-16 11:07","中村佳紀","FFVII REMAKE: ジョニーのテーマ (Johnny's Theme)",2430
"2021-03-16 11:07","鈴木 光人","FFVII REMAKE: RUN RUN RUN",1300
"2021-03-16 11:07","今村 貴文","FFVII REMAKE: 神羅社員の日常 (Another Day at Shinra HQ)",56590
"2021-03-16 11:13","Nobuo Uematsu","FFVII REMAKE: 教会に咲く花 (Flowers Blooming in the Church)",362533
"2021-03-16 11:14","島 翔太朗","FFVII REMAKE: スラムの太陽 (Undercity Suns)",92026
"2021-03-16 11:15","鈴木 光人","FFVII REMAKE: ファンク・ウイズ・ミー (Funk with Me)",51933
"2021-03-16 11:17","浜渦正志","FFVII REMAKE: 変な顔しちゃって (The Look on Her Face)",112956
"2021-03-16 11:17","Nobuo Uematsu","FFVII REMAKE: ヘルハウス (Hell House)",2620
"2021-03-16 11:18","Nobuo Uematsu","FFVII REMAKE: 勝利のファンファーレ (Victory Fanfare)",65706
"2021-03-16 11:20","鈴木 光人","FFVII REMAKE: ヴァイブ・ヴァレンティーノ (Vibe Valentino)",2120
"2021-03-16 11:20","鈴木 光人","FFVII REMAKE: 真夜中のまちぶせ (Midnight Rendezvous)",2420
"2021-03-16 11:20","中村佳紀","FFVII REMAKE: 魔晄中毒 (Mako Poisoning)",87773
"2021-03-16 11:20","鈴木 光人","FFVII REMAKE: クレイジーモーターサイクル -行くぜ野郎ども- (Lay Down Some Rubber - Let's Ride)",25630
"2021-03-16 11:22","Nobuo Uematsu","FFVII REMAKE: ランデブーポイント (The Rendezvous Point)",112306
"2021-03-16 11:26","浜渦正志","FFVII REMAKE: 機械塔の決戦 (Rematch atop the Pillar)",261266
"2021-03-16 11:28","Nobuo Uematsu","FFVII REMAKE: エアリスとマリン -いいにおい- (Aerith and Marlene - A Familiar Flower)",120453
"2021-03-16 11:29","Nobuo Uematsu","FFVII REMAKE: 腐ったピザの下で (Under the Rotting Pizza)",3000
"2021-03-16 11:29","浜渦正志","FFVII REMAKE: エリゴル (Eligor)",28273
"2021-03-16 11:32","Nobuo Uematsu","FFVII REMAKE: プレリュード -再会- (The Prelude - Reunion)",204826
"2021-03-16 11:34","鈴木 光人","FFVII REMAKE: スピードジャンキー (Speed Demon)",2370
"2021-03-16 11:34","Nobuo Uematsu","FFVII REMAKE: 鋼鉄の大地 (Shining Beacon of Civilization)",2410
"2021-03-16 11:34","Nobuo Uematsu","FFVII REMAKE: 神羅魂 (Shinra Creed)",510
"2021-03-16 11:34","中村佳紀","FFVII REMAKE: 七六分室陽動作戦 (S7-6 Annex Diversion)",10610
"2021-03-16 11:34","鈴木 光人","FFVII REMAKE: コルネオ・コロッセオ (Corneo Colosseum)",5440
"2021-03-16 11:34","浜渦正志","FFVII REMAKE: インフィニットエンド (Infinity's End)",68523
"2021-03-16 11:34","Nobuo Uematsu","FFVII REMAKE: 永遠のかくれんぼ (Waiting to Be Found)",10980
"2021-03-16 11:34","Nobuo Uematsu","FFVII REMAKE: トロトロの甘い夜 (An Unforgettable Night)",2150
"2021-03-16 11:34","Nobuo Uematsu","FFVII REMAKE: スイート・ハニー (The Sweetest Honey)",4280
"2021-03-16 11:34","浜渦正志","FFVII REMAKE: こっちへおいで (Come On, This Way)",6510
"2021-03-16 11:37","Nobuo Uematsu","FFVII REMAKE: 闘う者達 -なんでも屋の仕事- (Let the Battles Begin! - A Merc's Job)",173920
"2021-03-16 11:37","鈴木 光人","FFVII REMAKE: ミッドナイトスパイラル (Midnight Spiral)",4940
